epoch,train_loss,val_loss,train_mae,val_mae,lr
1,4431.9534,124.9825,53.95,10.12,1.00e-03
2,2728.2064,2015.2288,43.53,38.96,1.00e-03
3,3144.8737,2445.6801,45.96,42.42,1.00e-03
4,2246.3365,1329.0966,40.83,32.83,1.00e-03
5,1978.2630,2201.0754,36.31,40.60,5.00e-04
6,2199.2325,1614.8214,37.71,34.57,5.00e-04
7,2097.5975,1841.6021,38.06,35.29,5.00e-04
8,1885.7704,2065.0688,37.08,37.14,5.00e-04
