Method,MAE,RMSE,Acc%,Failure Fixed
Clustering (A2),25.05,42.0,56.0,reference
Edge Detection (A3),43.2,64.23,12.8,1 / 62 (1.9%)
CNN Model A (Adam),7.73,10.22,59.1,11 / 62 (17.7%)
CNN Model A (SGD),20.0,28.12,31.8,6 / 62 (9.7%)
CNN Model B,5.45,7.39,63.6,12 / 62 (19.4%)
